Method,Straight,Straight,Straight,Straight,Straight,Straight,Straight,Straight,Right Turn,Right Turn,Right Turn,Right Turn,Right Turn,Right Turn,Right Turn,Right Turn,Left Turn,Left Turn,Left Turn,Left Turn,Left Turn,Left Turn,Left Turn,Left Turn,Two Turn,Two Turn,Two Turn,Two Turn,Two Turn,Two Turn,Two Turn,Two Turn
,Town01,Town01,Town01,Town01,Town02,Town02,Town02,Town02,Town01,Town01,Town01,Town01,Town02,Town02,Town02,Town02,Town01,Town01,Town01,Town01,Town02,Town02,Town02,Town02,Town01,Town01,Town01,Town01,Town02,Town02,Town02,Town02
,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$
ICM,0.34 ± 0.02,0.15 ± 0.10,4.49 ± 1.00,1.34 ± 0.98,0.29 ± 0.08,0.23 ± 0.09,3.44 ± 1.36,2.05 ± 0.75,0.33 ± 0.09,0.21 ± 0.07,3.97 ± 1.13,0.99 ± 0.41,0.29 ± 0.04,0.17 ± 0.16,3.27 ± 0.70,0.51 ± 0.39,0.37 ± 0.04,0.18 ± 0.02,4.08 ± 0.86,0.88 ± 0.05,0.24 ± 0.02,0.20 ± 0.11,2.64 ± 0.79,0.99 ± 0.50,0.38 ± 0.05,0.34 ± 0.08,5.20 ± 1.02,2.42 ± 0.56,0.30 ± 0.05,0.30 ± 0.13,3.79 ± 1.10,2.32 ± 0.97
InDRiVE,0.32 ± 0.05,0.16 ± 0.06,3.35 ± 1.16,1.32 ± 0.42,0.23 ± 0.13,0.11 ± 0.12,2.47 ± 1.48,0.94 ± 0.99,0.21 ± 0.13,0.16 ± 0.16,1.79 ± 1.23,0.76 ± 0.74,0.37 ± 0.04,0.50 ± 0.06,3.32 ± 0.44,2.12 ± 0.32,0.30 ± 0.03,0.25 ± 0.06,3.28 ± 0.41,1.01 ± 0.23,0.34 ± 0.04,0.29 ± 0.07,3.44 ± 0.23,1.18 ± 0.33,0.53 ± 0.14,0.12 ± 0.10,6.57 ± 0.79,0.79 ± 0.62,0.35 ± 0.04,0.34 ± 0.25,4.81 ± 0.93,2.20 ± 1.62
RND,0.33 ± 0.04,0.14 ± 0.09,4.45 ± 0.90,1.01 ± 0.76,0.35 ± 0.09,0.35 ± 0.14,4.07 ± 1.80,2.15 ± 1.01,0.31 ± 0.01,0.34 ± 0.02,3.35 ± 0.16,1.84 ± 0.14,0.30 ± 0.02,0.31 ± 0.15,3.11 ± 0.59,0.93 ± 0.40,0.32 ± 0.04,0.36 ± 0.11,3.49 ± 0.92,1.29 ± 0.37,0.26 ± 0.10,0.27 ± 0.06,2.64 ± 1.38,1.16 ± 0.31,0.39 ± 0.06,0.49 ± 0.46,5.07 ± 1.33,3.09 ± 3.05,0.32 ± 0.07,0.22 ± 0.32,4.49 ± 1.05,1.33 ± 1.93
