Method,Straight,Straight,Straight,Straight,Straight,Straight,Straight,Straight,Right Turn,Right Turn,Right Turn,Right Turn,Right Turn,Right Turn,Right Turn,Right Turn,Left Turn,Left Turn,Left Turn,Left Turn,Left Turn,Left Turn,Left Turn,Left Turn,Two Turn,Two Turn,Two Turn,Two Turn,Two Turn,Two Turn,Two Turn,Two Turn
,Town01,Town01,Town01,Town01,Town02,Town02,Town02,Town02,Town01,Town01,Town01,Town01,Town02,Town02,Town02,Town02,Town01,Town01,Town01,Town01,Town02,Town02,Town02,Town02,Town01,Town01,Town01,Town01,Town02,Town02,Town02,Town02
,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$,$|a_{lon}| \downarrow$,$|a_{lat}| \downarrow$,$|j_{lon}| \downarrow$,$|j_{lat}| \downarrow$
DreamerV3,0.25 ± 0.03,0.11 ± 0.05,3.10 ± 0.35,1.08 ± 0.58,0.25 ± 0.06,0.10 ± 0.04,3.21 ± 1.09,0.96 ± 0.33,0.24 ± 0.05,0.11 ± 0.02,2.87 ± 0.67,0.60 ± 0.21,0.29 ± 0.04,0.37 ± 0.06,2.40 ± 0.22,1.09 ± 0.18,0.28 ± 0.01,0.21 ± 0.07,3.06 ± 0.22,0.97 ± 0.30,0.24 ± 0.04,0.22 ± 0.08,2.39 ± 0.55,0.96 ± 0.37,0.32 ± 0.08,0.16 ± 0.11,3.71 ± 1.05,0.83 ± 0.61,0.18 ± 0.09,0.23 ± 0.23,2.13 ± 1.30,1.80 ± 1.90
ICM,0.27 ± 0.09,0.15 ± 0.12,3.65 ± 0.91,1.27 ± 1.01,0.33 ± 0.04,0.18 ± 0.13,4.31 ± 0.78,1.33 ± 0.97,0.17 ± 0.12,0.03 ± 0.03,2.26 ± 1.63,0.25 ± 0.32,0.32 ± 0.06,0.30 ± 0.02,2.75 ± 1.17,0.90 ± 0.13,0.35 ± 0.06,0.16 ± 0.05,4.21 ± 0.86,0.78 ± 0.26,0.22 ± 0.16,0.11 ± 0.15,2.83 ± 2.08,0.51 ± 0.71,0.36 ± 0.08,0.33 ± 0.02,4.80 ± 1.13,2.09 ± 0.32,0.39 ± 0.11,0.28 ± 0.22,5.37 ± 2.32,2.14 ± 1.84
InDRiVE,0.29 ± 0.09,0.09 ± 0.06,3.49 ± 1.01,0.87 ± 0.64,0.29 ± 0.04,0.30 ± 0.13,2.78 ± 0.57,2.21 ± 1.17,0.27 ± 0.06,0.21 ± 0.05,2.75 ± 1.19,0.86 ± 0.27,0.25 ± 0.03,0.24 ± 0.02,2.38 ± 0.48,0.80 ± 0.13,0.32 ± 0.03,0.18 ± 0.08,3.84 ± 0.20,0.56 ± 0.19,0.28 ± 0.02,0.20 ± 0.05,2.68 ± 0.54,0.89 ± 0.19,0.47 ± 0.16,0.42 ± 0.14,5.79 ± 2.73,2.30 ± 0.97,0.34 ± 0.12,0.19 ± 0.10,4.51 ± 2.47,1.28 ± 0.72
RND,0.27 ± 0.10,0.23 ± 0.06,3.10 ± 1.51,2.05 ± 0.51,0.36 ± 0.04,0.20 ± 0.10,4.82 ± 0.97,1.54 ± 0.78,0.35 ± 0.06,0.27 ± 0.06,4.10 ± 0.97,1.47 ± 0.32,0.31 ± 0.01,0.27 ± 0.06,3.66 ± 0.14,0.91 ± 0.27,0.28 ± 0.02,0.23 ± 0.06,3.36 ± 0.20,0.85 ± 0.22,0.31 ± 0.05,0.33 ± 0.12,3.39 ± 0.54,1.81 ± 0.69,0.42 ± 0.05,0.38 ± 0.12,5.72 ± 0.85,2.59 ± 0.66,0.28 ± 0.02,0.50 ± 0.27,3.55 ± 0.73,3.97 ± 2.17
