task,phase,route_group,method,n_runs,town,mean_abs_acc_ms2,mean_abs_jerk_ms3,mean_abs_lat_acc_ms2,mean_abs_dsteer,mean_abs_dthrottle
Town01,zero_shot,left,InDRiVE,3,Town01,0.30 ± 0.03,3.28 ± 0.41,0.25 ± 0.06,0.14 ± 0.00,0.03 ± 0.00
Town01,zero_shot,left,RND,3,Town01,0.32 ± 0.04,3.49 ± 0.92,0.36 ± 0.11,0.14 ± 0.01,0.04 ± 0.00
Town01,zero_shot,multi_turn,ICM,3,Town01,0.38 ± 0.05,5.20 ± 1.02,0.34 ± 0.08,0.23 ± 0.01,0.04 ± 0.00
Town01,zero_shot,multi_turn,InDRiVE,3,Town01,0.53 ± 0.14,6.57 ± 0.79,0.12 ± 0.10,0.13 ± 0.00,0.04 ± 0.00
Town01,zero_shot,multi_turn,RND,3,Town01,0.39 ± 0.06,5.07 ± 1.33,0.49 ± 0.46,0.16 ± 0.03,0.04 ± 0.00
Town01,zero_shot,right,ICM,3,Town01,0.33 ± 0.09,3.97 ± 1.13,0.21 ± 0.07,0.22 ± 0.01,0.04 ± 0.00
Town01,zero_shot,right,InDRiVE,3,Town01,0.21 ± 0.13,1.79 ± 1.23,0.16 ± 0.16,0.11 ± 0.00,0.04 ± 0.00
Town01,zero_shot,right,RND,3,Town01,0.31 ± 0.01,3.35 ± 0.16,0.34 ± 0.02,0.15 ± 0.00,0.04 ± 0.00
Town01,zero_shot,straight,ICM,3,Town01,0.34 ± 0.02,4.49 ± 1.00,0.15 ± 0.10,0.23 ± 0.01,0.05 ± 0.00
Town01,zero_shot,straight,InDRiVE,3,Town01,0.32 ± 0.05,3.35 ± 1.16,0.16 ± 0.06,0.12 ± 0.01,0.03 ± 0.00
Town01,zero_shot,straight,RND,3,Town01,0.33 ± 0.04,4.45 ± 0.90,0.14 ± 0.09,0.15 ± 0.01,0.04 ± 0.00
Town02,few_shot_ca,left,DreamerV3,3,Town02,0.24 ± 0.04,2.39 ± 0.55,0.22 ± 0.08,0.13 ± 0.01,0.02 ± 0.00
Town02,few_shot_ca,left,ICM,3,Town02,0.22 ± 0.16,2.83 ± 2.08,0.11 ± 0.15,0.19 ± 0.02,0.05 ± 0.00
Town02,few_shot_ca,left,InDRiVE,3,Town02,0.28 ± 0.02,2.68 ± 0.54,0.20 ± 0.05,0.12 ± 0.00,0.04 ± 0.00
Town02,few_shot_ca,left,RND,3,Town02,0.31 ± 0.05,3.39 ± 0.54,0.33 ± 0.12,0.17 ± 0.00,0.04 ± 0.00
Town02,few_shot_ca,multi_turn,DreamerV3,3,Town02,0.18 ± 0.09,2.13 ± 1.30,0.23 ± 0.23,0.18 ± 0.04,0.02 ± 0.01
Town02,few_shot_ca,multi_turn,ICM,3,Town02,0.39 ± 0.11,5.37 ± 2.32,0.28 ± 0.22,0.19 ± 0.02,0.05 ± 0.00
Town02,few_shot_ca,multi_turn,InDRiVE,3,Town02,0.34 ± 0.12,4.51 ± 2.47,0.19 ± 0.10,0.15 ± 0.01,0.04 ± 0.00
Town02,few_shot_ca,multi_turn,RND,3,Town02,0.28 ± 0.02,3.55 ± 0.73,0.50 ± 0.27,0.25 ± 0.04,0.04 ± 0.00
Town02,few_shot_ca,right,DreamerV3,3,Town02,0.29 ± 0.04,2.40 ± 0.22,0.37 ± 0.06,0.08 ± 0.00,0.02 ± 0.00
Town02,few_shot_ca,right,ICM,3,Town02,0.32 ± 0.06,2.75 ± 1.17,0.30 ± 0.02,0.16 ± 0.01,0.05 ± 0.00
Town02,few_shot_ca,right,InDRiVE,3,Town02,0.25 ± 0.03,2.38 ± 0.48,0.24 ± 0.02,0.11 ± 0.00,0.04 ± 0.00
Town02,few_shot_ca,right,RND,3,Town02,0.31 ± 0.01,3.66 ± 0.14,0.27 ± 0.06,0.15 ± 0.00,0.04 ± 0.00
Town02,few_shot_ca,straight,DreamerV3,3,Town02,0.25 ± 0.06,3.21 ± 1.09,0.10 ± 0.04,0.14 ± 0.01,0.03 ± 0.00
Town02,few_shot_ca,straight,ICM,3,Town02,0.33 ± 0.04,4.31 ± 0.78,0.18 ± 0.13,0.19 ± 0.02,0.04 ± 0.00
Town02,few_shot_ca,straight,InDRiVE,3,Town02,0.29 ± 0.04,2.78 ± 0.57,0.30 ± 0.13,0.14 ± 0.01,0.04 ± 0.00
Town02,few_shot_ca,straight,RND,3,Town02,0.36 ± 0.04,4.82 ± 0.97,0.20 ± 0.10,0.16 ± 0.00,0.05 ± 0.00
Town02,few_shot_lf,left,DreamerV3,3,Town02,0.27 ± 0.02,2.47 ± 0.54,0.31 ± 0.08,0.12 ± 0.00,0.03 ± 0.00
Town02,few_shot_lf,left,ICM,3,Town02,0.23 ± 0.16,3.06 ± 2.20,0.09 ± 0.08,0.20 ± 0.01,0.05 ± 0.00
Town02,few_shot_lf,left,InDRiVE,3,Town02,0.33 ± 0.01,3.75 ± 0.78,0.19 ± 0.06,0.12 ± 0.00,0.04 ± 0.00
Town02,few_shot_lf,left,RND,3,Town02,0.28 ± 0.07,3.61 ± 1.00,0.17 ± 0.03,0.17 ± 0.00,0.04 ± 0.00
Town02,few_shot_lf,multi_turn,DreamerV3,3,Town02,0.27 ± 0.09,3.55 ± 1.61,0.29 ± 0.10,0.18 ± 0.02,0.02 ± 0.00
Town02,few_shot_lf,multi_turn,ICM,3,Town02,0.28 ± 0.04,4.03 ± 0.47,0.13 ± 0.09,0.20 ± 0.01,0.05 ± 0.00
Town02,few_shot_lf,multi_turn,InDRiVE,3,Town02,0.38 ± 0.08,4.92 ± 2.23,0.21 ± 0.17,0.14 ± 0.02,0.04 ± 0.00
Town02,few_shot_lf,multi_turn,RND,3,Town02,0.30 ± 0.12,4.34 ± 2.10,0.25 ± 0.17,0.21 ± 0.02,0.04 ± 0.00
Town02,few_shot_lf,right,DreamerV3,3,Town02,0.27 ± 0.04,2.41 ± 0.44,0.31 ± 0.03,0.08 ± 0.00,0.02 ± 0.00
Town02,few_shot_lf,right,ICM,3,Town02,0.32 ± 0.02,3.83 ± 0.40,0.17 ± 0.07,0.17 ± 0.01,0.05 ± 0.00
Town02,few_shot_lf,right,InDRiVE,3,Town02,0.30 ± 0.03,2.76 ± 0.37,0.35 ± 0.11,0.11 ± 0.00,0.04 ± 0.00
Town02,few_shot_lf,right,RND,3,Town02,0.31 ± 0.02,3.44 ± 0.39,0.34 ± 0.08,0.15 ± 0.00,0.04 ± 0.00
Town02,few_shot_lf,straight,DreamerV3,3,Town02,0.25 ± 0.05,3.05 ± 0.86,0.14 ± 0.12,0.14 ± 0.05,0.03 ± 0.01
Town02,few_shot_lf,straight,ICM,3,Town02,0.38 ± 0.07,4.41 ± 0.84,0.32 ± 0.11,0.17 ± 0.02,0.04 ± 0.00
Town02,few_shot_lf,straight,InDRiVE,3,Town02,0.38 ± 0.01,4.83 ± 0.79,0.20 ± 0.10,0.14 ± 0.01,0.04 ± 0.00
Town02,few_shot_lf,straight,RND,3,Town02,0.30 ± 0.12,3.89 ± 2.32,0.19 ± 0.13,0.16 ± 0.01,0.04 ± 0.00
Town02,zero_shot,left,ICM,3,Town02,0.24 ± 0.02,2.64 ± 0.79,0.20 ± 0.11,0.19 ± 0.03,0.05 ± 0.00
Town02,zero_shot,left,InDRiVE,3,Town02,0.34 ± 0.04,3.44 ± 0.23,0.29 ± 0.07,0.11 ± 0.00,0.02 ± 0.00
Town02,zero_shot,left,RND,3,Town02,0.26 ± 0.10,2.64 ± 1.38,0.27 ± 0.06,0.14 ± 0.01,0.04 ± 0.00
Town02,zero_shot,multi_turn,ICM,3,Town02,0.30 ± 0.05,3.79 ± 1.10,0.30 ± 0.13,0.20 ± 0.02,0.05 ± 0.00
Town02,zero_shot,multi_turn,InDRiVE,3,Town02,0.35 ± 0.04,4.81 ± 0.93,0.34 ± 0.25,0.13 ± 0.00,0.03 ± 0.00
Town02,zero_shot,multi_turn,RND,3,Town02,0.32 ± 0.07,4.49 ± 1.05,0.22 ± 0.32,0.15 ± 0.02,0.04 ± 0.00
Town02,zero_shot,right,ICM,3,Town02,0.29 ± 0.04,3.27 ± 0.70,0.17 ± 0.16,0.18 ± 0.03,0.04 ± 0.00
Town02,zero_shot,right,InDRiVE,3,Town02,0.37 ± 0.04,3.32 ± 0.44,0.50 ± 0.06,0.12 ± 0.00,0.03 ± 0.00
Town02,zero_shot,right,RND,3,Town02,0.30 ± 0.02,3.11 ± 0.59,0.31 ± 0.15,0.11 ± 0.01,0.04 ± 0.00
Town02,zero_shot,straight,ICM,3,Town02,0.29 ± 0.08,3.44 ± 1.36,0.23 ± 0.09,0.21 ± 0.02,0.05 ± 0.00
Town02,zero_shot,straight,InDRiVE,3,Town02,0.23 ± 0.13,2.47 ± 1.48,0.11 ± 0.12,0.12 ± 0.02,0.04 ± 0.00
Town02,zero_shot,straight,RND,3,Town02,0.35 ± 0.09,4.07 ± 1.80,0.35 ± 0.14,0.13 ± 0.01,0.04 ± 0.00
